timestamp,image1,image2,hamming_distance,similarity,is_same_person,bits_different,total_bits
2025-08-04T10:24:16.419288,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,244936.jpg,-1,0.5625,True,-1,-1
2025-08-04T10:24:24.223623,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,PPymkSZt_400x400.jpg,-1,0.6770833333333333,True,-1,-1
2025-08-04T10:24:32.666121,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,901343_v9_bb.jpg,-1,0.65625,True,-1,-1
2025-08-04T10:24:40.567386,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,AAAABe2wZ2YVKZQ8BvF8mFd-WoMd547nFmxTxY6faBlBNKE03ioalQeE53_Qt85Bxpgb8abYQBFyZc5B32_Fqzjug3vb_JlDU-042iWAgcNiFRRAPb-Q6VdiD8Nh4_GsDprzAmH0LA.jpg,-1,0.7604166666666666,True,-1,-1
2025-08-04T10:24:48.893081,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,shang-chi-ronny-chieng-singaporean-ah-beng-role-comment.jpg,-1,0.6458333333333333,True,-1,-1
2025-08-04T10:24:56.839787,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,MRVOGUE_VOGUESG_ONLINE9-1-680x1020.jpg,-1,0.7083333333333333,True,-1,-1
2025-08-04T10:25:06.234072,AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,hodinkee_talking_watches_ronnie_chieng.jpg,-1,0.5104166666666667,True,-1,-1
2025-08-04T10:25:13.699641,244936.jpg,PPymkSZt_400x400.jpg,-1,0.6770833333333333,True,-1,-1
2025-08-04T10:25:21.439717,244936.jpg,901343_v9_bb.jpg,-1,0.71875,True,-1,-1
2025-08-04T10:25:28.947157,244936.jpg,AAAABe2wZ2YVKZQ8BvF8mFd-WoMd547nFmxTxY6faBlBNKE03ioalQeE53_Qt85Bxpgb8abYQBFyZc5B32_Fqzjug3vb_JlDU-042iWAgcNiFRRAPb-Q6VdiD8Nh4_GsDprzAmH0LA.jpg,-1,0.5104166666666667,True,-1,-1
